timestep,question ,action_node_id, bubble_size, bubble_scale, image_name, question, option1, option2,body_coords
task1_6_2_0-4_trial_3_5,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_3_6,Show me right elbow,10,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_3_7,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_3_8,Show me left knee,21,2,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_3_9,Show me Torso,5,2,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_3_10,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_3_11,Show me right shoulder,9,1,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_3_12,Show me left ankle,22,2,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_3_13,Show me left wrist,16,1,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_3_14,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_3_15,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_3_16,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_3_17,Show me left shoulder,14,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_3_18,Show me left ankle,22,0,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_3_19,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
task1_6_2_0-4_trial_4_1,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_2,Show me rigth hip,17,2,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_3,Show me Lower Body,3,0,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_4,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_5,Show me right knee,18,0,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_6,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_7,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_8,Show me Left Leg,8,1,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_9,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_10,Show me right ankle,19,1,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_11,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_12,Show me right knee,18,0,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_13,Show me neck,13,0,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_14,Show me right shoulder,9,1,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_15,Show me Left Leg,8,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_16,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_17,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_18,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_19,Show me Right Arm,4,2,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_20,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_21,Show me left ankle,22,0,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_22,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_4_23,Show me Right Arm,4,0,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
task1_6_2_0-4_trial_5_1,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_2,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_3,Show me Right Leg,7,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_4,Show me Right Leg,7,2,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_5,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_6,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_7,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_8,Show me left ankle,22,1,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_9,Show me Full Body,1,2,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_10,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_11,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_12,Show me Torso,5,2,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_13,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_14,Show me neck,13,2,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_15,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_16,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_17,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_18,Show me Full Body,1,1,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_19,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_20,Show me Left Arm,6,0,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_21,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_22,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_5_23,Show me left knee,21,0,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
task1_6_2_0-4_trial_6_1,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_6_2,Show me Lower Body,3,1,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_6_3,Show me right shoulder,9,1,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_6_4,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_6_5,Show me left wrist,16,2,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_6_6,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_6_7,Show me left elbow,15,1,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_6_8,Show me Right Leg,7,2,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_6_9,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_6_10,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_6_11,Show me left knee,21,1,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_6_12,Show me left elbow,15,0,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_6_13,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_6_14,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_6_15,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_6_16,Show me Right Leg,7,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_6_17,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_6_18,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_6_19,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_6_20,Show me left shoulder,14,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
task1_6_2_0-4_trial_7_1,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_7_2,Show me right knee,18,2,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_7_3,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_7_4,Show me Left Arm,6,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_7_5,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_7_6,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_7_7,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_7_8,Show me left knee,21,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_7_9,Show me Upper Body,2,2,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_7_10,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_7_11,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
task1_6_2_0-4_trial_8_1,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_8_2,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_8_3,Show me left shoulder,14,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_8_4,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_8_5,Show me left ankle,22,1,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_8_6,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_8_7,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_8_8,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_8_9,Show me Right Arm,4,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_8_10,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
task1_6_2_0-4_trial_9_1,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_9_2,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_9_3,Show me head,12,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_9_4,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_9_5,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_9_6,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_9_7,Show me left hip,20,0,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_9_8,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_9_9,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_9_10,Show me Right Leg,7,1,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_9_11,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_9_12,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
task1_6_2_0-4_trial_10_1,Show me right knee,18,1,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_10_2,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_10_3,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_10_4,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_10_5,Show me left wrist,16,0,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_10_6,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_10_7,Show me right shoulder,9,0,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_10_8,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_10_9,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_10_10,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_10_11,Show me Right Arm,4,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_10_12,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_10_13,Show me right knee,18,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_10_14,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_10_15,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_10_16,Show me left ankle,22,1,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_10_17,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_10_18,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_10_19,Show me right knee,18,2,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_10_20,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
